lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
BE23,1925-7
BE25,1925-7
BE26,1925-7
BEA27,1925-7
BEA3,1925-7
BEALQ,26604-9
BEC24,Not mapped
BEC27,Not mapped
BECA3,Not mapped
BENQ,3390-2
BENZ0Q,3390-2
BENZ23,3390-2
BENZ3,3390-2
BENZOQ,3390-2
BENZTQ,Not mapped
BEOS18,26450-7
BEP24,1925-7
BEP25,1925-7
BEPOC,1925-7
BERMU,6041-8
BERMUQ,6041-8
BETA,2871-2
BETA%,13982-4
BETA26,2871-2
BETAE,2871-2
BETAGLOB,13994-9
BETAHY,6873-4
BETAOQ,Not mapped
BETE25,2871-2
BETHY2,6873-4
BETP25,13982-4
BEV24,1927-3
BEV25,1927-3
BEV27,1927-3
BEV3,1927-3
BEX18,11555-0
BEXC17,11555-0
BFALB3,1747-5
BFAMY3,1795-4
BFB15,Not mapped
BFB16,Not mapped
BFBA15,Not mapped
BFBA16,Not mapped
BFC15,6824-7
BFC16,6824-7
BFCL15,6824-7
BFCL16,6824-7
BFCR14,6825-4
BFCR15,6825-4
BFCR16,6825-4
